QueryNumber,DCG
1,"[0, 2.0, 2.0, 2.0, 2.0, 6.6422336868144995, 6.6422336868144995, 6.6422336868144995, 10.112347331457515, 12.219557301105384]"
2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,"[12, 12, 12, 12, 12, 12, 12, 12.666666666666666, 12.666666666666666, 12.666666666666666]"
4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,"[7, 8.0, 8.0, 9.0, 9.861353116146786, 13.34302838125766, 13.34302838125766, 13.34302838125766, 15.551282518757763, 16.153342510085725]"
6,"[0, 0, 0, 0, 0, 0, 0, 0, 0.31546487678572877, 0.31546487678572877]"
7,"[0, 0, 0.6309297535714575, 0.6309297535714575, 0.6309297535714575, 0.6309297535714575, 0.6309297535714575, 0.6309297535714575, 0.6309297535714575, 0.6309297535714575]"
8,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
9,"[0, 0, 0, 0, 0, 0, 0, 0, 2.8391838910715586, 2.8391838910715586]"
10,"[0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0]"
11,"[11, 23.0, 23.0, 23.5, 28.66811869688072, 29.054971504115258, 29.054971504115258, 31.054971504115258, 31.054971504115258, 31.054971504115258]"
12,"[0, 0, 0, 0, 0, 0, 0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,"[2, 2, 2, 2, 7.168118696880717, 11.810352383695218, 13.235181132127307, 13.235181132127307, 15.443435269627408, 15.443435269627408]"
15,"[3, 3, 3, 3, 3, 3, 3, 3.6666666666666665, 3.6666666666666665, 3.6666666666666665]"
16,"[4, 6.0, 13.57115704285749, 16.07115704285749, 16.932510159004277, 19.253627002411527, 19.253627002411527, 19.253627002411527, 19.884556755982985, 22.593826716958816]"
17,"[0, 0, 4.4165082750002025, 5.4165082750002025, 5.4165082750002025, 5.4165082750002025, 5.4165082750002025, 5.4165082750002025, 5.4165082750002025, 5.4165082750002025]"
18,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
19,"[0, 12.0, 12.0, 12.5, 12.5, 12.5, 12.5, 13.166666666666666, 13.166666666666666, 13.166666666666666]"
20,"[12, 24.0, 31.57115704285749, 37.57115704285749, 37.57115704285749, 37.57115704285749, 41.84564328815376, 45.84564328815376, 45.84564328815376, 45.84564328815376]"
21,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
22,"[5, 7.0, 7.630929753571458, 8.130929753571458, 8.130929753571458, 10.065193789744166, 11.490022538176255, 12.156689204842921, 12.156689204842921, 12.156689204842921]"
23,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25,"[0, 2.0, 7.04743802857166, 7.04743802857166, 7.04743802857166, 7.04743802857166, 10.965717086759904, 10.965717086759904, 12.22757659390282, 14.334786563550688]"
26,"[0, 9.0, 12.154648767857287, 12.154648767857287, 16.89209090666461, 16.89209090666461, 16.89209090666461, 16.89209090666461, 16.89209090666461, 16.89209090666461]"
27,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3010299956639812]"
28,"[2, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.666666666666667, 6.666666666666667, 6.666666666666667]"
29,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
