QueryNumber,DCG
1,"[2, 2, 9.57115704285749, 9.57115704285749, 9.57115704285749, 9.57115704285749, 10.995985791289579, 10.995985791289579, 10.995985791289579, 10.995985791289579]"
2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,"[0, 0, 1.261859507142915, 1.261859507142915, 1.261859507142915, 1.261859507142915, 1.261859507142915, 1.261859507142915, 1.261859507142915, 1.261859507142915]"
4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,"[1, 8.0, 9.261859507142916, 10.261859507142916, 11.123212623289701, 11.123212623289701, 11.835626997505745, 11.835626997505745, 11.835626997505745, 11.835626997505745]"
6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
9,"[0, 0, 0, 0, 0, 0, 0, 0, 0.31546487678572877, 0.31546487678572877]"
10,"[0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0]"
11,"[11, 23.0, 23.0, 23.0, 28.16811869688072, 28.554971504115258, 28.554971504115258, 28.554971504115258, 28.870436380900987, 28.870436380900987]"
12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,"[0, 0, 0, 0, 0, 0, 0, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]"
14,"[12, 16.0, 16.0, 16.0, 17.72270623229357, 18.496411846762655, 18.496411846762655, 18.496411846762655, 18.496411846762655, 18.496411846762655]"
15,"[0, 0, 0, 5.5, 6.79202967422018, 6.79202967422018, 6.79202967422018, 6.79202967422018, 6.79202967422018, 6.79202967422018]"
16,"[4, 6.0, 13.57115704285749, 13.57115704285749, 17.447246065518026, 19.768362908925276, 21.549398844465387, 22.216065511132054, 22.846995264703512, 22.846995264703512]"
17,"[0, 0, 1.261859507142915, 1.261859507142915, 1.261859507142915, 1.261859507142915, 1.261859507142915, 1.261859507142915, 4.731973151785931, 4.731973151785931]"
18,"[0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 7.2618595071429155, 7.2618595071429155]"
19,"[1, 1, 8.57115704285749, 8.57115704285749, 8.57115704285749, 8.57115704285749, 8.57115704285749, 8.57115704285749, 8.57115704285749, 8.57115704285749]"
20,"[12, 24.0, 31.57115704285749, 37.57115704285749, 42.73927573973821, 47.38150942655271, 51.29978848474096, 51.29978848474096, 51.29978848474096, 51.29978848474096]"
21,"[0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
22,"[1, 6.0, 9.154648767857287, 12.654648767857287, 13.516001884004073, 15.450265920176781, 15.450265920176781, 15.450265920176781, 16.081195673748237, 16.081195673748237]"
23,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25,"[0, 0, 6.940227289286033, 8.440227289286032, 9.301580405432817, 13.943814092247317, 13.943814092247317, 16.610480758913983, 16.610480758913983, 16.610480758913983]"
26,"[0, 9.0, 9.0, 11.5, 11.5, 11.5, 11.5, 15.166666666666666, 15.166666666666666, 15.166666666666666]"
27,"[0, 0, 0, 5.5, 5.5, 5.5, 5.5, 5.5, 5.5, 5.5]"
28,"[2, 6.0, 6.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]"
29,"[0, 0, 0, 4.5, 4.5, 4.886852807234542, 9.161339052530808, 9.161339052530808, 9.161339052530808, 9.161339052530808]"
30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,"[0, 0, 0, 6.0, 6.0, 10.6422336868145, 10.6422336868145, 10.6422336868145, 10.6422336868145, 13.652533643454312]"
