QueryNumber,nDCG
1,0.6370105020689959
2,0
3,0.6309297535714575
4,0
5,0.9460883368864814
6,0
7,0
8,1.0
9,0.31546487678572877
10,1.0
11,0.9058555891345694
12,0
13,0.3333333333333333
14,0.9473815840736348
15,0.48514497673001283
16,0.7331902990360742
17,0.36399793475276393
18,0.7261859507142916
19,0.6593197725274992
20,1.0
21,1.0
22,0.8185516394179796
23,0
24,0
25,0.5462394305601647
26,0.6550160539563294
27,0.5
28,0.9639404333166532
29,0.4235296012192074
30,0
31,0.45044045073519184
32,0.3333333333333333
33,0.8964807362732548
34,0.878669103861113
35,0
36,0
37,0.9570684857073424
38,0.8964866469224351
39,0.9412803754722089
40,0.7519197757929167
41,1.0
42,1.0
43,0.9472756790816368
44,0.863387319993254
45,1.0
46,0.4794581695868603
47,0.9615384615384616
48,1.0
49,0.7097126191122817
50,0.7539531690476383
51,0.5031818439643195
52,0
53,0.827748992442707
54,0.7006090616949637
55,0
56,0.46533827903669656
57,0.6656873490169243
58,0.6704080850737799
59,0.6769424163875749
60,0
61,0.7413696711358165
62,0.5888275605255103
63,0.38685280723454163
64,0.4420048283749555
65,0.5848667714618614
66,0.5858633426020676
67,0.5123954478544471
68,0.3333333333333333
69,0
70,0
71,0.6309297535714574
72,0.49742762323941453
73,1.0
74,0.3562071871080222
75,0.7411421869369462
76,0.6309297535714575
77,0.7891027163265472
78,0.7001846188724017
79,0.6937465204351921
80,0.7715107568938753
81,0.8055555555555556
82,0.6309297535714575
83,0.7539531690476383
84,0.8119439829657871
85,0
86,0.5138451370655944
87,0.6934264036172708
88,0
89,1.0
90,0.785286144217578
91,0.7910254184543989
92,0.9169764413693403
94,0.9357719873514997
95,0
96,0
97,0.4751772681840741
98,0.6309297535714575
99,0
100,0
