QueryNumber,QueryText
00001,WHAT EFFECTS CALCIUM PHYSICAL PROPERTIES MUCUS CF PATIENTS
00002,CAN ONE DISTINGUISH EFFECTS MUCUS HYPERSECRETION INFECTION SUBMUCOSAL GLANDS RESPIRATORY TRACT CF
00003,HOW SALIVARY GLYCOPROTEINS CF PATIENTS DIFFERENT NORMAL SUBJECTS
00004,WHAT LIPID COMPOSITION CF RESPIRATORY SECRETIONS
00005,IS CF MUCUS ABNORMAL
00006,WHAT EFFECT WATER THERAPEUTIC AGENTS PHYSICAL PROPERTIES VISCOSITY ELASTICITY SPUTUM BRONCHIAL SECRETIONS CF PATIENTS
00007,ARE MUCUS GLYCOPROTEINS DEGRADED DIFFERENTLY CF PATIENTS COMPARED NORMAL SUBJECTS
00008,WHAT HISTOCHEMICAL DIFFERENCES DESCRIBED NORMAL CF RESPIRATORY EPITHELIA
00009,WHAT ASSOCIATION LIVER DISEASE CIRRHOSIS VITAMIN A METABOLISM CF
00010,WHAT ROLE VITAMIN E THERAPY PATIENTS CF
00011,WHAT DIFFERENCE MECONIUM ILEUS MECONIUM PLUG SYNDROME
00012,WHAT ABNORMALITIES AMINO ACID TRANSPORT DESCRIBED SMALL BOWEL CF PATIENTS
00013,WHAT CLINICAL BIOCHEMICAL FEATURES PANCREATITIS CF PATIENTS
00014,WHAT NON INVASIVE TESTS PERFORMED EVALUATION EXOCRINE PANCREATIC FUNCTION PATIENTS CF
00015,WHAT HEPATIC COMPLICATIONS MANIFESTATIONS CF
00016,WHAT GASTROINTESTINAL COMPLICATIONS CF NEONATAL PERIOD EXCLUDE LIVER DISEASE MECONIUM ILEUS
00017,WHAT EFFECTIVE REGIMEN USE PANCREATIC ENZYME SUPPLEMENTS TREATMENT CF PATIENTS
00018,IS DIETARY SUPPLEMENTATION BILE SALTS THERAPEUTIC BENEFIT CF PATIENTS
00019,WHAT COMPLICATIONS PANCREATIC ENZYME THERAPY REPORTED CF PATIENTS
00020,WHAT EFFECT TREATMENT CF PATIENTS ESSENTIAL FATTY ACID SUPPLEMENTS
00021,DOES PANCREATIC INSUFFICIENCY CF PATIENTS AFFECT ABILITY ABSORB METABOLIZE IRON
00022,WHAT FREQUENCY CF NON CAUCASIAN POPULATIONS
00023,WHAT CONGENITAL HEREDITARY DISEASES CONDITIONS FOUND ASSOCIATION CF
00024,WHAT CHARACTERISTICS PATIENTS CF INCOMPLETELY MANIFESTED
00025,WHAT EVIDENCE GENETIC BASIS CF INVOLVES ONE GENE
00026,WHAT HETEROZYGOTE ADVANTAGE CF
00027,WHAT CONCORDANCE CLINICAL BIOCHEMICAL MANIFESTATIONS CF SIBLING PAIRS CF
00028,WHAT INCIDENCE MALE FERTILITY CF
00029,WHAT PATHOLOGY REPRODUCTIVE SYSTEM MALE FEMALE CF
00030,WHAT RESULTS GENETIC COUNSELING FAMILIES CHILDREN CF
00031,WHAT MAJOR PSYCHOLOGICAL SOCIAL EFFECTS CF PATIENTS FAMILIES
00032,WHAT FACTORS INFLUENCE COMPLIANCE PRESCRIBED THERAPY CF PATIENTS
00033,WHAT CONDITIONS FACTORS LEAD ERRONEOUS SWEAT TESTS
00034,WHAT ALTERNATIVE TECHNIQUES CLASSICAL GIBSON COOKE QUANTITATIVE PILOCARPINE IONTOPHORESIS TEST TITRIMETRIC ANALYSIS CHLORIDE AVAILABLE SWEAT TESTING RELATIVE ADVANTAGES DISADVANTAGES
00035,HAS CF PATIENT FOUND CONSISTENTLY NORMAL SWEAT TESTS
00036,WHAT CONCENTRATION POTASSIUM SWEAT CF PATIENTS
00037,WHAT TECHNIQUES AVAILABLE SCREENING NEWBORN INFANTS CF FACTORS CONTRIBUTE ERRONEOUS RESULTS TESTS
00038,CAN CF DIAGNOSED PRENATALLY
00039,HOW MAY HETEROZYGOTES CF IDENTIFIED
00040,OTHER SWEAT TEST TECHNIQUES MAY USEFUL BEYOND NEONATAL PERIOD DIAGNOSIS CF
