QueryNumber,DocNumber,DocVotes
00001,139,10
00001,151,9
00001,166,2
00001,311,2
00001,370,3
00001,392,2
00001,439,2
00001,440,3
00001,441,11
00001,454,1
00001,461,7
00001,502,4
00001,503,2
00001,505,2
00001,520,3
00001,522,2
00001,526,5
00001,527,4
00001,533,12
00001,593,2
00001,619,2
00001,737,1
00001,742,1
00001,789,2
00001,827,1
00001,835,2
00001,861,2
00001,875,7
00001,891,2
00001,921,3
00001,922,3
00001,1175,1
00001,1185,2
00001,1222,2
00002,169,2
00002,434,4
00002,454,1
00002,498,2
00002,499,2
00002,592,4
00002,875,5
00003,23,2
00003,40,1
00003,139,11
00003,190,2
00003,221,2
00003,246,2
00003,309,2
00003,311,3
00003,325,2
00003,345,1
00003,347,1
00003,356,1
00003,370,4
00003,374,2
00003,375,10
00003,439,2
00003,440,5
00003,454,6
00003,515,2
00003,520,1
00003,524,1
00003,526,3
00003,527,6
00003,533,2
00003,535,1
00003,560,1
00003,561,2
00003,571,1
00003,584,1
00003,604,4
00003,623,1
00003,633,12
00003,733,2
00003,742,3
00003,854,1
00003,856,10
00003,950,1
00003,967,2
00003,1144,6
00003,1161,2
00003,1172,2
00003,1175,2
00003,1196,4
00004,503,2
00004,538,1
00004,539,1
00004,540,1
00004,553,2
00004,604,12
00004,669,3
00004,711,11
00004,876,12
00005,23,8
00005,47,10
00005,50,2
00005,60,2
00005,114,3
00005,132,2
00005,135,2
00005,139,1
00005,151,12
00005,169,2
00005,189,2
00005,190,2
00005,197,2
00005,200,2
00005,226,2
00005,256,9
00005,265,1
00005,297,2
00005,298,2
00005,299,2
00005,311,2
00005,312,2
00005,325,5
00005,333,2
00005,343,4
00005,347,5
00005,349,2
00005,369,2
00005,370,7
00005,371,2
00005,374,12
00005,386,4
00005,392,2
00005,410,2
00005,420,2
00005,427,2
00005,428,2
00005,430,4
00005,434,2
00005,437,2
00005,439,12
00005,440,1
00005,441,2
00005,450,2
00005,461,7
00005,465,6
00005,478,2
00005,496,7
00005,497,9
00005,498,9
00005,499,11
00005,500,7
00005,501,1
00005,502,1
00005,503,10
00005,505,2
00005,511,5
00005,513,1
00005,516,3
00005,520,2
00005,524,3
00005,531,2
00005,533,9
00005,549,2
00005,553,4
00005,559,2
00005,561,1
00005,568,2
00005,590,2
00005,592,4
00005,593,12
00005,604,4
00005,605,1
00005,633,11
00005,669,1
00005,701,2
00005,702,2
00005,710,11
00005,711,4
00005,722,2
00005,724,4
00005,729,2
00005,731,4
00005,733,4
00005,750,1
00005,761,2
00005,763,2
00005,772,1
00005,779,2
00005,788,2
00005,805,9
00005,843,4
00005,845,2
00005,856,9
00005,857,2
00005,861,9
00005,864,2
00005,867,3
00005,875,12
00005,876,4
00005,888,4
00005,889,4
00005,895,7
00005,925,2
00005,935,2
00005,943,2
00005,944,2
00005,975,10
00005,980,7
00005,982,4
00005,990,4
00005,1000,4
00005,1019,2
00005,1038,2
00005,1040,2
00005,1064,8
00005,1076,2
00005,1080,2
00005,1088,2
00005,1091,2
00005,1092,4
00005,1093,4
00005,1098,2
00005,1144,8
00005,1156,2
00005,1175,5
00005,1185,2
00005,1188,2
00005,1196,2
00005,1223,2
00005,1226,2
00006,25,1
00006,31,12
00006,90,2
00006,195,1
00006,326,2
00006,370,2
00006,438,2
00006,440,1
00006,441,2
00006,503,6
00006,511,1
00006,586,2
00006,592,3
00006,593,2
00006,722,2
00006,731,2
00006,734,4
00006,805,2
00006,875,5
00006,922,1
00006,963,2
00006,975,3
00006,1092,2
00006,1093,4
00007,45,1
00007,53,2
00007,166,4
00007,171,2
00007,256,3
00007,370,2
00007,371,11
00007,386,2
00007,410,1
00007,439,3
00007,535,2
00007,623,9
00007,633,1
00007,634,1
00007,640,1
00007,669,1
00007,831,1
00007,853,1
00007,856,8
00007,857,1
00007,921,1
00007,1027,1
00007,1054,3
00007,1056,1
00007,1057,1
00007,1059,1
00007,1064,5
00007,1161,2
00008,23,10
00008,169,2
00008,322,1
00008,370,2
00008,386,2
00008,435,2
00008,439,3
00008,463,2
00008,496,2
00008,497,2
00008,498,2
00008,499,9
00008,503,2
00008,605,2
00008,683,8
00008,710,2
00008,750,1
00008,771,2
00008,867,2
00008,875,2
00008,944,2
00008,1125,8
00009,165,9
00009,174,2
00009,362,2
00009,370,2
00009,414,12
00009,443,1
00009,794,6
00009,992,3
00009,1040,2
00009,1115,5
00010,30,10
00010,126,4
00010,157,12
00010,170,8
00010,296,9
00010,301,2
00010,322,2
00010,370,3
00010,413,12
00010,443,5
00010,581,12
00010,676,11
00010,715,1
00010,722,2
00010,728,5
00010,758,2
00010,782,3
00010,835,1
00010,878,11
00010,941,2
00010,1115,10
00010,1215,1
00010,1218,11
00010,1234,2
00010,1239,5
00011,36,2
00011,46,2
00011,96,7
00011,186,2
00011,301,2
00011,428,6
00011,518,6
00011,649,1
00011,652,2
00011,659,1
00011,772,3
00011,796,12
00011,798,11
00011,799,1
00011,835,2
00011,837,2
00011,908,2
00011,909,12
00011,991,12
00011,1119,1
00011,1178,2
00011,1226,4
00012,70,11
00012,181,2
00012,443,7
00012,466,8
00012,755,1
00012,918,2
00012,1115,2
00013,156,10
00013,301,8
00013,314,12
00013,322,6
00013,370,1
00013,443,5
00013,462,3
00013,522,1
00013,643,2
00013,695,6
00013,715,1
00013,719,1
00013,722,2
00013,763,3
00013,764,2
00013,791,9
00013,822,2
00013,900,1
00013,902,5
00013,978,2
00013,1017,1
00013,1033,2
00013,1097,2
00013,1124,4
00014,5,3
00014,89,1
00014,92,2
00014,131,11
00014,135,2
00014,150,12
00014,156,2
00014,203,1
00014,232,1
00014,233,9
00014,234,7
00014,291,2
00014,297,2
00014,314,2
00014,319,1
00014,344,10
00014,345,7
00014,356,2
00014,367,7
00014,370,4
00014,379,2
00014,405,10
00014,413,2
00014,417,7
00014,419,4
00014,421,2
00014,424,2
00014,462,11
00014,465,7
00014,492,2
00014,584,4
00014,602,5
00014,616,7
00014,635,11
00014,662,1
00014,695,1
00014,719,3
00014,777,7
00014,791,11
00014,809,1
00014,815,12
00014,852,12
00014,889,2
00014,899,12
00014,930,4
00014,941,5
00014,1000,2
00014,1008,8
00014,1013,3
00014,1100,12
00014,1117,8
00014,1124,11
00014,1135,6
00014,1206,2
00014,1234,4
00015,17,2
00015,59,11
00015,63,2
00015,72,2
00015,91,2
00015,95,2
00015,97,2
00015,98,2
00015,99,10
00015,135,2
00015,149,5
00015,174,8
00015,197,4
00015,204,12
00015,205,11
00015,226,4
00015,232,1
00015,238,2
00015,266,12
00015,297,2
