QueryNumber,RankingDoc
1,"[1, 568, 0.804663345437639]"
1,"[2, 392, 0.7817051577440601]"
1,"[3, 11, 0.7217045447662297]"
1,"[4, 302, 0.7214000219563609]"
1,"[5, 437, 0.7189519532464289]"
1,"[6, 533, 0.7054191666051963]"
1,"[7, 856, 0.683029952222739]"
1,"[8, 189, 0.6601675400560936]"
1,"[9, 441, 0.6598465182731157]"
1,"[10, 875, 0.6545641226094919]"
1,"[11, 950, 0.6536146278857896]"
1,"[12, 398, 0.6504443691736859]"
1,"[13, 311, 0.6490676448288653]"
1,"[14, 982, 0.6428808387430265]"
1,"[15, 52, 0.6428138069125602]"
1,"[16, 543, 0.64277325082897]"
1,"[17, 1168, 0.6346018871387469]"
1,"[18, 914, 0.6275791242560103]"
1,"[19, 693, 0.625730254138594]"
1,"[20, 502, 0.6253029445798359]"
1,"[21, 439, 0.6248034856675009]"
1,"[22, 496, 0.62304924652927]"
1,"[23, 523, 0.6201672645590236]"
1,"[24, 538, 0.6201672645590236]"
1,"[25, 767, 0.6201672645590236]"
1,"[26, 754, 0.6194317318821417]"
1,"[27, 676, 0.6181424103720775]"
1,"[28, 738, 0.6170872514506996]"
1,"[29, 758, 0.6110427735779284]"
1,"[30, 1016, 0.6091280188139243]"
1,"[31, 962, 0.6075169872333871]"
1,"[32, 43, 0.6042346373438123]"
1,"[33, 451, 0.6027360472014941]"
1,"[34, 552, 0.6025984964723182]"
1,"[35, 999, 0.6012948913535167]"
1,"[36, 1180, 0.6009989726742314]"
1,"[37, 147, 0.5992656940480341]"
1,"[38, 499, 0.5960405319236687]"
1,"[39, 1201, 0.5935206358604214]"
1,"[40, 957, 0.5791975248327067]"
1,"[41, 430, 0.5724361396612093]"
1,"[42, 742, 0.5707235878091257]"
1,"[43, 730, 0.5673776321044254]"
1,"[44, 246, 0.5635392465384944]"
1,"[45, 1107, 0.5635392465384944]"
1,"[46, 658, 0.5627634653904091]"
1,"[47, 766, 0.5619271910543688]"
1,"[48, 1197, 0.5619271910543688]"
1,"[49, 960, 0.5586366460235591]"
1,"[50, 265, 0.5583679646721338]"
1,"[51, 386, 0.5560148073898329]"
1,"[52, 765, 0.5560148073898329]"
1,"[53, 559, 0.5554327910932103]"
1,"[54, 1120, 0.5510313153045419]"
2,"[1, 1197, 0.7025327814513576]"
2,"[2, 980, 0.6657838373551523]"
2,"[3, 333, 0.657070491519267]"
2,"[4, 297, 0.6544426060475992]"
2,"[5, 1173, 0.6364828783328774]"
2,"[6, 754, 0.6296219696887755]"
2,"[7, 767, 0.6025443342096679]"
2,"[8, 176, 0.5993709116262776]"
2,"[9, 459, 0.5926224464411152]"
2,"[10, 133, 0.5879003349242895]"
2,"[11, 159, 0.5871745862611004]"
2,"[12, 571, 0.5856497632598375]"
2,"[13, 325, 0.5851053914968694]"
2,"[14, 733, 0.5848362188477034]"
2,"[15, 1170, 0.5827832134117055]"
2,"[16, 179, 0.5814348983711993]"
2,"[17, 1078, 0.5780319195780695]"
2,"[18, 189, 0.5779066380866327]"
2,"[19, 969, 0.5647884502815244]"
2,"[20, 265, 0.5614968662195663]"
2,"[21, 769, 0.5609909373693096]"
2,"[22, 6, 0.5564017662056102]"
2,"[23, 1, 0.5528622996551931]"
3,"[1, 633, 0.8503411880382559]"
3,"[2, 1206, 0.8075698703875073]"
3,"[3, 1165, 0.7955275618878233]"
3,"[4, 137, 0.7859317737924076]"
3,"[5, 437, 0.7477196363884089]"
3,"[6, 1237, 0.7399710315704153]"
3,"[7, 317, 0.735091775810842]"
3,"[8, 1161, 0.7294347162150462]"
3,"[9, 55, 0.7275779196292074]"
3,"[10, 676, 0.7272160019795931]"
3,"[11, 144, 0.726673074071071]"
3,"[12, 803, 0.7247779879863637]"
3,"[13, 754, 0.7216166001183527]"
3,"[14, 201, 0.7211774847378718]"
3,"[15, 1209, 0.7211774847378718]"
3,"[16, 246, 0.7136563911678612]"
3,"[17, 320, 0.7130328200575193]"
3,"[18, 263, 0.7129798591937337]"
3,"[19, 715, 0.7129798591937337]"
3,"[20, 356, 0.7097074135331275]"
3,"[21, 187, 0.7088162808538715]"
3,"[22, 140, 0.7066261756451959]"
3,"[23, 961, 0.7062274196095106]"
3,"[24, 553, 0.7028518281449988]"
3,"[25, 401, 0.7009548630455277]"
3,"[26, 151, 0.6983477191053453]"
3,"[27, 585, 0.6983477191053453]"
3,"[28, 150, 0.6928876409722934]"
3,"[29, 441, 0.6888644883785032]"
3,"[30, 738, 0.6886823993915904]"
3,"[31, 1107, 0.6867286127689695]"
3,"[32, 496, 0.6865716208439319]"
3,"[33, 749, 0.68220699260462]"
3,"[34, 1076, 0.6804706972794742]"
3,"[35, 1137, 0.6804706972794742]"
3,"[36, 685, 0.6744047011883041]"
3,"[37, 190, 0.6733418627831191]"
3,"[38, 269, 0.6718924183217626]"
3,"[39, 766, 0.6716732978108926]"
3,"[40, 765, 0.6680587188180651]"
3,"[41, 572, 0.665954064549034]"
3,"[42, 904, 0.6628901700903717]"
3,"[43, 658, 0.6604996155694349]"
3,"[44, 680, 0.6586788324371413]"
3,"[45, 19, 0.6543924744616073]"
3,"[46, 24, 0.6541839755622698]"
3,"[47, 811, 0.6528542642434678]"
3,"[48, 905, 0.6528542642434678]"
3,"[49, 172, 0.6525129731909807]"
3,"[50, 219, 0.6513337250208405]"
3,"[51, 840, 0.6511605360534434]"
3,"[52, 629, 0.6505130298502313]"
3,"[53, 1124, 0.6505130298502313]"
3,"[54, 541, 0.6487467242662797]"
3,"[55, 1171, 0.6479052619004008]"
3,"[56, 415, 0.6475515254461548]"
3,"[57, 901, 0.6474612481025419]"
3,"[58, 853, 0.6457070314033736]"
3,"[59, 1175, 0.6443329200522138]"
3,"[60, 702, 0.6439249598091662]"
3,"[61, 122, 0.6433790835982637]"
3,"[62, 497, 0.6430261119270305]"
3,"[63, 1238, 0.636639181631446]"
3,"[64, 1075, 0.6358536191957608]"
3,"[65, 528, 0.6342146564037289]"
3,"[66, 914, 0.6336687388099504]"
3,"[67, 312, 0.6332475350465347]"
3,"[68, 307, 0.6319003869286216]"
3,"[69, 786, 0.6317444725958937]"
3,"[70, 850, 0.6314810970961879]"
3,"[71, 466, 0.6314498885528118]"
3,"[72, 726, 0.6314069400538922]"
3,"[73, 1191, 0.6307001522655623]"
3,"[74, 404, 0.6301547470705534]"
3,"[75, 102, 0.6289527875795371]"
3,"[76, 534, 0.6278574381297423]"
3,"[77, 632, 0.6278574381297423]"
3,"[78, 655, 0.626412749531592]"
3,"[79, 1050, 0.6254973849669505]"
3,"[80, 1173, 0.6252199308566909]"
3,"[81, 953, 0.624690913715071]"
3,"[82, 52, 0.6239257203728994]"
3,"[83, 499, 0.6239257203728994]"
3,"[84, 1210, 0.6239257203728994]"
3,"[85, 767, 0.622795915503209]"
3,"[86, 1117, 0.622795915503209]"
3,"[87, 936, 0.622070583598666]"
3,"[88, 471, 0.6219890822288048]"
3,"[89, 1181, 0.6219890822288048]"
3,"[90, 288, 0.6210149755604657]"
3,"[91, 141, 0.6208340522077885]"
3,"[92, 1038, 0.6192393040382028]"
3,"[93, 1058, 0.6192393040382028]"
3,"[94, 960, 0.618357213791019]"
3,"[95, 268, 0.618229584229703]"
3,"[96, 959, 0.6171030527152552]"
3,"[97, 647, 0.6163043575587446]"
3,"[98, 314, 0.6145257982901792]"
3,"[99, 522, 0.6144909691731221]"
3,"[100, 589, 0.6131930799976734]"
3,"[101, 1005, 0.6131555044294387]"
3,"[102, 523, 0.612744293258896]"
3,"[103, 998, 0.6122734434504257]"
3,"[104, 926, 0.6107705698741933]"
3,"[105, 1197, 0.6106071533663581]"
3,"[106, 1099, 0.6095950392842587]"
3,"[107, 302, 0.6091789804129207]"
3,"[108, 1169, 0.6090256101925026]"
3,"[109, 139, 0.6083924189571803]"
3,"[110, 851, 0.6079117872987804]"
3,"[111, 4, 0.6049875733107757]"
3,"[112, 1139, 0.604549614606101]"
3,"[113, 535, 0.6043334270301342]"
3,"[114, 143, 0.6042581315771275]"
3,"[115, 1016, 0.6041910540771707]"
3,"[116, 218, 0.6040628857762556]"
3,"[117, 304, 0.6038955274469877]"
3,"[118, 982, 0.6016352986723518]"
3,"[119, 501, 0.6009405721086677]"
3,"[120, 505, 0.600524465557827]"
3,"[121, 2, 0.5983753998552716]"
3,"[122, 358, 0.5978156167601384]"
3,"[123, 710, 0.5975033901398972]"
3,"[124, 59, 0.5942794536252605]"
3,"[125, 693, 0.5942794536252605]"
3,"[126, 527, 0.592864800583034]"
3,"[127, 1156, 0.5919236902756317]"
3,"[128, 798, 0.5909821864736466]"
3,"[129, 971, 0.5908941386950372]"
3,"[130, 313, 0.5907394289044001]"
3,"[131, 259, 0.5899218135701465]"
3,"[132, 308, 0.5899218135701465]"
3,"[133, 486, 0.5891870150832372]"
3,"[134, 958, 0.5891870150832372]"
3,"[135, 520, 0.5880569209398202]"
3,"[136, 848, 0.5878266022865792]"
3,"[137, 348, 0.587666621689227]"
3,"[138, 755, 0.5875092140922131]"
3,"[139, 548, 0.5869399132253812]"
3,"[140, 575, 0.5869399132253812]"
3,"[141, 1029, 0.5869399132253812]"
3,"[142, 1198, 0.5869399132253812]"
3,"[143, 462, 0.5856738437416263]"
3,"[144, 1106, 0.5853038407683465]"
3,"[145, 306, 0.5850503182470375]"
3,"[146, 1170, 0.5828899868883066]"
3,"[147, 1188, 0.581143101775746]"
3,"[148, 255, 0.5795507293532388]"
3,"[149, 463, 0.5795507293532388]"
3,"[150, 616, 0.5795507293532388]"
3,"[151, 1126, 0.5795507293532388]"
3,"[152, 614, 0.5792309254186132]"
3,"[153, 956, 0.5788437761603313]"
3,"[154, 206, 0.5788214566733612]"
3,"[155, 355, 0.5788214566733612]"
3,"[156, 424, 0.5788214566733612]"
3,"[157, 689, 0.5788214566733612]"
3,"[158, 969, 0.5786599321429345]"
3,"[159, 521, 0.5768950419570978]"
3,"[160, 366, 0.5763023636378671]"
3,"[161, 397, 0.5763023636378671]"
3,"[162, 411, 0.5742869310472244]"
3,"[163, 124, 0.5715703827478423]"
3,"[164, 425, 0.5715703827478423]"
3,"[165, 11, 0.5701507886385411]"
3,"[166, 83, 0.5690981856811085]"
3,"[167, 205, 0.5686105742378867]"
3,"[168, 18, 0.5684312190172504]"
3,"[169, 653, 0.5679857700524005]"
3,"[170, 1030, 0.5679857700524005]"
3,"[171, 852, 0.5630849216966941]"
3,"[172, 281, 0.5614591694370368]"
3,"[173, 508, 0.5603654536114421]"
3,"[174, 1019, 0.5603654536114421]"
3,"[175, 1155, 0.5567871914434301]"
3,"[176, 602, 0.5554753834412576]"
3,"[177, 946, 0.5533776120843024]"
3,"[178, 885, 0.5527791226591545]"
4,"[1, 1192, 0.7694241238154191]"
4,"[2, 820, 0.766505410581971]"
4,"[3, 1039, 0.7617301915705286]"
4,"[4, 1197, 0.735166801458663]"
4,"[5, 568, 0.7136762230997431]"
4,"[6, 856, 0.7071938045976873]"
4,"[7, 439, 0.7020531156276569]"
4,"[8, 497, 0.6456020019500698]"
4,"[9, 715, 0.6324550962240536]"
4,"[10, 430, 0.6324473145711109]"
4,"[11, 496, 0.6324473145711109]"
4,"[12, 536, 0.6324473145711109]"
4,"[13, 1175, 0.6324473145711109]"
4,"[14, 31, 0.632430326371726]"
4,"[15, 552, 0.632430326371726]"
4,"[16, 1169, 0.632430326371726]"
4,"[17, 767, 0.632430326371726]"
4,"[18, 567, 0.6324064143235311]"
4,"[19, 1016, 0.6322488716606736]"
4,"[20, 126, 0.6311806215536312]"
4,"[21, 498, 0.6310414350316691]"
4,"[22, 190, 0.6304722402529667]"
4,"[23, 451, 0.6304722402529667]"
4,"[24, 1173, 0.6292256247818406]"
4,"[25, 8, 0.6284023355517566]"
4,"[26, 325, 0.6284023355517566]"
4,"[27, 511, 0.6284023355517566]"
4,"[28, 571, 0.6280399004779257]"
4,"[29, 1091, 0.6280399004779257]"
4,"[30, 206, 0.6280399004779257]"
4,"[31, 243, 0.6280399004779257]"
4,"[32, 265, 0.6280399004779257]"
4,"[33, 822, 0.6280399004779257]"
4,"[34, 914, 0.6280399004779257]"
4,"[35, 975, 0.6277579725700589]"
4,"[36, 1145, 0.6277579725700589]"
4,"[37, 1030, 0.627460747711429]"
4,"[38, 725, 0.627460747711429]"
4,"[39, 18, 0.6271957975205693]"
4,"[40, 347, 0.6271957975205693]"
4,"[41, 553, 0.6271957975205693]"
4,"[42, 135, 0.6225195899675826]"
4,"[43, 711, 0.6225195899675826]"
4,"[44, 471, 0.6215660199503453]"
4,"[45, 538, 0.6215660199503453]"
4,"[46, 11, 0.6213785953600726]"
4,"[47, 1216, 0.6211781720161689]"
4,"[48, 754, 0.6211781720161689]"
4,"[49, 1019, 0.6211781720161689]"
4,"[50, 798, 0.6206306964476723]"
4,"[51, 928, 0.6181974849058939]"
4,"[52, 956, 0.6175738910229653]"
4,"[53, 148, 0.6172420414665627]"
4,"[54, 7, 0.6166008096755764]"
4,"[55, 333, 0.6166008096755764]"
4,"[56, 614, 0.6149921780466061]"
4,"[57, 1185, 0.6126601147548077]"
4,"[58, 1170, 0.6120594081638818]"
4,"[59, 515, 0.6102158499703777]"
4,"[60, 955, 0.6102158499703777]"
4,"[61, 187, 0.6097294822197464]"
4,"[62, 860, 0.6052582272067285]"
4,"[63, 969, 0.6052582272067285]"
4,"[64, 1234, 0.5985640001289628]"
4,"[65, 731, 0.5985640001289628]"
4,"[66, 297, 0.5985640001289628]"
4,"[67, 726, 0.5980871767043645]"
4,"[68, 358, 0.5980871767043645]"
4,"[69, 589, 0.595158082977145]"
4,"[70, 875, 0.5920060628441092]"
4,"[71, 322, 0.5902281516761385]"
4,"[72, 710, 0.5889157493490608]"
4,"[73, 375, 0.583560750288441]"
4,"[74, 137, 0.579321594741047]"
4,"[75, 499, 0.579321594741047]"
4,"[76, 1199, 0.579321594741047]"
4,"[77, 912, 0.5769075346148018]"
4,"[78, 307, 0.5763564455093328]"
4,"[79, 52, 0.5678056765703053]"
4,"[80, 269, 0.5678056765703053]"
4,"[81, 867, 0.5675175070088839]"
4,"[82, 1067, 0.5641730306412526]"
4,"[83, 441, 0.5515683064322643]"
5,"[1, 496, 0.9959122712754619]"
5,"[2, 501, 0.9364682759973225]"
5,"[3, 754, 0.865938425404801]"
5,"[4, 568, 0.816496334498954]"
5,"[5, 297, 0.816154617231821]"
5,"[6, 856, 0.816154617231821]"
5,"[7, 930, 0.816154617231821]"
5,"[8, 1067, 0.816154617231821]"
5,"[9, 895, 0.8153267620291751]"
5,"[10, 392, 0.8142975936821067]"
5,"[11, 451, 0.8142975936821067]"
5,"[12, 738, 0.8142975936821067]"
5,"[13, 957, 0.8142975936821067]"
5,"[14, 982, 0.8142975936821067]"
5,"[15, 59, 0.812524716644625]"
5,"[16, 150, 0.812524716644625]"
5,"[17, 206, 0.812524716644625]"
5,"[18, 398, 0.812524716644625]"
5,"[19, 430, 0.812524716644625]"
5,"[20, 563, 0.812524716644625]"
