QueryNumber,RankingDoc
1,"[1, 392, 0.8099914849680917]"
1,"[2, 568, 0.7916815909248294]"
1,"[3, 533, 0.7641659295918667]"
1,"[4, 950, 0.7391516220888537]"
1,"[5, 52, 0.7327001766472813]"
1,"[6, 11, 0.7208330498828242]"
1,"[7, 502, 0.7196551973794642]"
1,"[8, 437, 0.7155536404226671]"
1,"[9, 302, 0.7024245829030188]"
1,"[10, 451, 0.6920413524649042]"
1,"[11, 189, 0.6848064247913933]"
1,"[12, 856, 0.673588584148086]"
1,"[13, 957, 0.6733407540077888]"
1,"[14, 430, 0.6704124880995983]"
1,"[15, 441, 0.6564081374424768]"
1,"[16, 875, 0.6542736745267411]"
1,"[17, 532, 0.6539833786066306]"
1,"[18, 1167, 0.6524483295111108]"
1,"[19, 311, 0.6440748081748136]"
1,"[20, 1224, 0.6401958603996252]"
1,"[21, 767, 0.6400434629460525]"
1,"[22, 1066, 0.6400434629460525]"
1,"[23, 552, 0.6376290609457688]"
1,"[24, 982, 0.6368772203556753]"
1,"[25, 398, 0.6364906178506152]"
1,"[26, 754, 0.6355687200197029]"
1,"[27, 912, 0.6326464311083753]"
1,"[28, 1168, 0.6326464311083753]"
1,"[29, 439, 0.6293455646297151]"
1,"[30, 543, 0.6271789257753306]"
1,"[31, 962, 0.6271789257753306]"
1,"[32, 914, 0.6270849251985506]"
1,"[33, 676, 0.624788456076082]"
1,"[34, 523, 0.6182419045421862]"
1,"[35, 538, 0.6182419045421862]"
1,"[36, 1180, 0.6162375258382707]"
1,"[37, 496, 0.6161945329775168]"
1,"[38, 753, 0.6133981409715047]"
1,"[39, 693, 0.611659049210368]"
1,"[40, 43, 0.6111653645069324]"
1,"[41, 738, 0.6100500372254444]"
1,"[42, 1016, 0.60838283736601]"
1,"[43, 734, 0.6024258704815669]"
1,"[44, 969, 0.6023773981081132]"
1,"[45, 314, 0.6016001450518513]"
1,"[46, 758, 0.596691077645689]"
1,"[47, 1091, 0.596691077645689]"
1,"[48, 1159, 0.596691077645689]"
1,"[49, 1163, 0.596691077645689]"
1,"[50, 999, 0.5960945053660232]"
1,"[51, 742, 0.5955491446764399]"
1,"[52, 501, 0.5955135534388701]"
1,"[53, 499, 0.5934503043691953]"
1,"[54, 147, 0.5933317602802978]"
1,"[55, 1093, 0.5899749656557983]"
1,"[56, 1201, 0.5874777861592905]"
1,"[57, 508, 0.5812319900695498]"
1,"[58, 963, 0.5812319900695498]"
1,"[59, 956, 0.5771449227312455]"
1,"[60, 559, 0.5766562513534593]"
1,"[61, 137, 0.5739790523537222]"
1,"[62, 503, 0.5702630562816482]"
1,"[63, 85, 0.5672929760109358]"
1,"[64, 1203, 0.562660466528149]"
1,"[65, 765, 0.5623802962643805]"
1,"[66, 1076, 0.5598057942565613]"
1,"[67, 246, 0.5589252016595305]"
1,"[68, 1107, 0.5589252016595305]"
1,"[69, 658, 0.5586586864352718]"
1,"[70, 690, 0.5586586864352718]"
1,"[71, 67, 0.5565691867616815]"
1,"[72, 265, 0.5540495720866321]"
1,"[73, 960, 0.5540158668346827]"
1,"[74, 208, 0.5514497954625569]"
1,"[75, 1120, 0.5509306044672552]"
2,"[1, 1197, 0.6974069480253289]"
2,"[2, 980, 0.6619866602751581]"
2,"[3, 159, 0.6564530547043698]"
2,"[4, 297, 0.652657465749201]"
2,"[5, 754, 0.6361937748574479]"
2,"[6, 1173, 0.6308160170905823]"
2,"[7, 333, 0.6300050171103206]"
2,"[8, 969, 0.6264228742483791]"
2,"[9, 733, 0.6224763395672226]"
2,"[10, 598, 0.5912378551052087]"
2,"[11, 176, 0.5883015949700074]"
2,"[12, 325, 0.5872785137841616]"
